OTU ID	HSD.1.2	HSD.1.6	HSD.1.9	HSD.2.10	HSD.2.3	HSD.2.4	HSD.3.10	HSD.3.2	HSD.3.9	HSD.5.1	HSD.5.2	HSD.5.7	HSD.R4.10	HSD.R4.4	HSD.R4.5	NSD.1.3	NSD.1.4	NSD.1.9	NSD.2.3	NSD.2.5	NSD.2.6	NSD.3.1	NSD.3.10	NSD.3.3	NSD.4.1	NSD.4.6	NSD.4.8	NSD.5.10	NSD.5.6	NSD.HSD.1.10	NSD.HSD.1.4	NSD.HSD.2.10	NSD.HSD.2.2	NSD.HSD.2.3	NSD.HSD.3.4	NSD.HSD.3.6	NSD.HSD.3.8	NSD.HSD.4.1	NSD.HSD.4.3	NSD.HSD.4.4	NSD.HSD.5.4	NSD.HSD.5.5	NSD.HSD.5.6	NSD.NSD.1.1	NSD.NSD.1.2	NSD.NSD.1.5	NSD.NSD.2.2	NSD.NSD.2.5	NSD.NSD.2.6	NSD.NSD.3.1	NSD.NSD.3.4	NSD.NSD.3.7	NSD.NSD.4.2	NSD.NSD.4.3	NSD.NSD.4.7	NSD.NSD.5.4	NSD.NSD.5.6	NSD.NSD.5.8
a776233eb0bc9e0304c80700e685ffac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0552292011849174	0	0
4f8cf97ad128337d6c0481d0d6b5d7c4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00109768383937354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000175989102754757	0	0	0	0	0
ef8636aec0262165a66793a29de1bdf8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0474143380958402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0228370090043064	0
b656988f920c0d400c660c5f337ffb67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114063668526207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0300661455201443	0	0	0
b6b53c4ec3d327507c58ce35d01d7828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0218226487415899	0	0	0	0	0
7b1cb1ca1c77ffe875a27dce73a693af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0281135788585887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ac5564754afcc022be04180c885b504b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000763606149129417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016718964761702	0	0	0	0	0
51fc22b7dab5c5c8c83976354fa2e7ac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0154664686958674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3989855c8a924bf3e182182e743099fb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0184261254110443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1512fe096bb10e24529886194383bceb	0	0	0	0	0	0	0	0	0	0.0427565292783252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
534ac56525b04d2861849eace01d9525	0	0	0	0	0	0.0174759884706355	0	0	0	0	0.017208610423829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0292451474484869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c35c820c265383f0013331a4375a29f5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0312215428645766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
532c21406d7c54f6b0404d66b6d966a9	0	0	0	0	0	0	0.0143361656001958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22dc219483077bdef6df46b0692ecd5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000238626921602943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e20fa3a7def1930679fa83a7b5846832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00195674075714413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ed39bdca64a9b4f1e56438474c13340b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00404774936335942	0	0	0	0	0
81a21a40d59b517206f8ad6b941f9799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00395975481198204	0	0	0	0	0
369b7252d984090787d676f8e6b7c13c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0050111653536618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00912519771261711	0	0	0	0	0	0	0
b4bf07e269f8c685cd2e03ae562d02a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00674581759309228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00448437196370648	0	0	0	0	0	0	0	0	0	0
b0dae18b1f0971cfc712b34b83037528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000527967308264272	0	0	0	0	0
48f8fe69b4fda3364f9a9688351e94d2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00284892168314293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d5d6695a7e0d30154d36fc81385042b7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00948286761916804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0130497194310322	0
